City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Qaqortoq,0,GL,1583128107,3.2,2.24,60.72,-46.03,54
Lompoc,90,US,1583127918,48.2,8.86,34.64,-120.46,93
Anadyr,0,RU,1583128107,1.4,15.66,64.75,177.48,77
Vyshestebliyevskaya,75,RU,1583128107,44.01,4.47,45.2,37.02,93
Inhambane,40,MZ,1583128107,75.2,4.7,-23.86,35.38,69
Warkworth,100,NZ,1583128107,73.4,13.87,-36.4,174.67,64
Tasiilaq,100,GL,1583128158,23,4.7,65.61,-37.64,85
Nikolskoye,75,RU,1583128158,37.99,11.18,59.7,30.79,91
Sulangan,24,PH,1583128158,79.63,8.81,11.14,123.72,74
Havøysund,75,NO,1583128158,24.8,14.99,71,24.66,92
Bumba,100,CD,1583128159,71.67,2.46,2.18,22.47,93
Kérouané,71,GN,1583128159,64.87,2.17,9.27,-9.02,35
Tuktoyaktuk,75,CA,1583128159,-22,9.17,69.45,-133.04,74
Cabo San Lucas,5,MX,1583128159,69.01,6.93,22.89,-109.91,52
Provideniya,0,RU,1583128159,5,11.18,64.38,-173.3,65
Murray Bridge,10,AU,1583128160,75.99,4,-35.12,139.27,56
Am Timan,0,TD,1583128160,78.21,9.64,11.03,20.28,12
Lorengau,62,PG,1583128160,85.06,6.06,-2.02,147.27,71
Laas,48,IT,1583128160,32,1.12,46.62,10.7,92
Saskylakh,100,RU,1583128160,16.05,25.19,71.92,114.08,69
Taltal,13,CL,1583128161,59.99,2.73,-25.4,-70.48,89
Bataiporã,3,BR,1583128161,65.86,4.45,-22.3,-53.27,91
São Miguel do Iguaçu,0,BR,1583128161,73.4,13.87,-25.35,-54.24,68
Cassilândia,4,BR,1583128161,66.16,4.12,-19.11,-51.73,98
Quatre Cocos,90,MU,1583128162,79,2.24,-20.21,57.76,94
Itarema,100,BR,1583128162,75.83,1.45,-2.92,-39.92,92
Mindelo,40,CV,1583128162,69.8,26.4,16.89,-24.98,83
Nowy Dwór Mazowiecki,100,PL,1583128162,43,4.7,52.43,20.72,100
San José del Palmar,40,CO,1583128162,69.8,2.24,4.97,-76.23,100
Luwingu,98,ZM,1583128163,65.34,4.14,-10.26,29.93,95
George Town,20,MY,1583128163,91.4,5.82,5.41,100.34,66
Palauig,32,PH,1583128163,81.23,7.43,15.44,119.9,64
Bemidji,90,US,1583128032,28.4,18.34,47.47,-94.88,79
Sitka,90,US,1583128163,41,19.46,57.05,-135.33,80
Dāmghān,94,IR,1583128164,56.79,13.47,36.17,54.35,43
Shawville,100,CA,1583128164,25,10.13,45.6,-76.48,76
La Romana,75,DO,1583128164,73.4,6.93,18.43,-68.97,94
Inuvik,40,CA,1583127905,-23.8,3.36,68.35,-133.72,74
Alice Springs,75,AU,1583127970,82.4,5.82,-23.7,133.88,37
Goderich,98,CA,1583127936,41,5.99,43.75,-81.72,69
Cascas,100,PE,1583128165,66.54,2.33,-7.48,-78.82,85
Nabire,85,ID,1583128165,86.27,5.17,-3.37,135.48,71
Kilindoni,99,TZ,1583128165,82.29,13.02,-7.91,39.67,73
Lakes Entrance,66,AU,1583128165,66.99,1.99,-37.88,147.98,58
Kruisfontein,68,ZA,1583128166,68.32,6.64,-34,24.73,83
Nelson Bay,26,AU,1583128166,100,14.99,-32.72,152.15,17
Chokurdakh,84,RU,1583128166,1.04,13.82,70.63,147.92,87
Mount Isa,40,AU,1583128166,93.2,9.17,-20.73,139.5,38
Jalu,0,LY,1583128167,58.6,7.25,29.03,21.55,43
Bayjī,9,IQ,1583128167,53.22,0.96,34.93,43.49,58
Waipawa,100,NZ,1583128167,69.01,19.46,-41.41,175.52,82
Port Moresby,40,PG,1583128167,91.4,14.99,-9.44,147.18,66
Sabha,24,LY,1583128168,58.03,10.4,27.04,14.43,25
El Sauce,0,NI,1583128218,67.26,6.13,12.89,-86.54,82
Derzhavīnsk,100,KZ,1583128218,26.94,16.31,51.1,66.32,95
Grindavik,75,IS,1583128218,35.6,29.97,63.84,-22.43,64
Coquimbo,75,CL,1583128218,60.8,4.7,-29.95,-71.34,87
Nantucket,1,US,1583128218,30.2,4.7,41.28,-70.1,46
Bambous Virieux,90,MU,1583128219,79,2.24,-20.34,57.76,94
Codrington,0,AU,1583128219,56.62,12.53,-38.27,141.97,64
El Tarra,99,CO,1583128219,67.37,1.1,8.58,-73.09,97
Margate,75,GB,1583128219,45,4.7,51.38,1.39,100
Hay River,90,CA,1583128219,17.6,9.17,60.82,-115.8,85
Yar-Sale,89,RU,1583128220,11.5,15.26,66.83,70.83,92
Yunhe,79,CN,1583128220,50.49,6.22,34.08,119.72,41
Noceto,40,IT,1583128220,37.4,3.36,44.81,10.17,93
Port Hardy,90,CA,1583128220,37.4,13.87,50.7,-127.42,100
Windhoek,99,NA,1583128221,63,2.24,-22.56,17.08,93
Hofn,100,IS,1583128221,38.17,37.67,64.25,-15.21,66
Charters Towers,56,AU,1583128221,89.76,9.44,-20.1,146.27,37
La Unión,99,PE,1583128221,79.59,8.43,-5.4,-80.75,63
Farafangana,36,MG,1583128222,76.68,16.82,-22.82,47.83,81
Ballymena,20,GB,1583128222,33.01,9.17,54.86,-6.28,90
Mbandaka,100,CD,1583128222,71.89,3.33,0.05,18.26,98
Cap Malheureux,90,MU,1583128222,79,2.24,-19.98,57.61,94
Porto Belo,75,BR,1583128222,70,4.7,-27.16,-48.55,100
Faanui,100,PF,1583128223,82.94,21.27,-16.48,-151.75,77
Kurumkan,5,RU,1583128223,11.08,3.49,54.3,110.3,84
Amazar,88,RU,1583128223,16.56,8.03,53.86,120.88,72
Fortuna,1,US,1583128223,46.4,4.18,40.6,-124.16,81
Yigou,100,CN,1583128224,56.75,19.93,35.81,114.32,34
Koshurnikovo,0,RU,1583128224,24.48,5.37,54.17,93.3,76
Pisco,90,PE,1583128224,73.4,10.29,-13.7,-76.22,83
Bentiu,59,SS,1583128224,82.94,8.79,9.23,29.83,9
Gore,33,NZ,1583128225,69.35,1.36,-46.1,168.94,69
Pitimbu,75,BR,1583128225,77,6.93,-7.47,-34.81,100
Laurel,1,US,1583128226,41,8.05,39.1,-76.85,68
Broome,90,US,1583128226,37,4.7,42.25,-75.83,47
Mae Hong Son,0,TH,1583128226,87.8,2.24,19.3,97.97,35
Werda,67,BW,1583128227,68.7,3.71,-25.27,23.28,69
Longyearbyen,75,SJ,1583128227,1.4,8.05,78.22,15.64,70
Bodden Town,7,KY,1583128228,78.01,14,19.28,-81.25,73
Mt. Pleasant,1,US,1583128228,48,4.7,32.79,-79.86,93
Talāja,0,IN,1583128229,87.55,6.76,21.35,72.05,23
Hasaki,75,JP,1583128229,45,17.22,35.73,140.83,100
Yulara,90,AU,1583128038,75.2,9.17,-25.24,130.99,73
Kysyl-Syr,51,RU,1583128230,2.5,3.47,63.9,122.76,91
Loandjili,40,CG,1583128230,77,3.36,-4.76,11.86,100
Neuquén,0,AR,1583128230,84.2,4.7,-38.95,-68.06,26
Ajdabiya,27,LY,1583128230,61.41,11.25,30.76,20.23,55
Harper,13,LR,1583128231,77.61,2.86,4.38,-7.72,94
Beringovskiy,0,RU,1583128231,-4.14,2.48,63.05,179.32,86
Jijiga,68,ET,1583128278,72.59,13.2,9.35,42.8,20
Mackay,68,AU,1583128278,87.8,14.99,-21.15,149.2,62
Grand Gaube,90,MU,1583128278,79,2.24,-20.01,57.66,94
Ţahţā,0,EG,1583128279,51.8,5.82,26.77,31.5,62
Pimentel,98,PE,1583128279,66.2,10.29,-6.84,-79.93,29
Meulaboh,97,ID,1583128279,84.72,1.95,4.14,96.13,71
Asău,90,RO,1583128279,37.99,16.11,46.43,26.4,100
Toppenish,90,US,1583128279,45,5.82,46.38,-120.31,49
Colares,75,PT,1583128280,60.8,16.11,38.8,-9.45,93
Norman Wells,75,CA,1583128280,-5.8,24.16,65.28,-126.83,76
Lüderitz,49,NA,1583128280,62.96,6.13,-26.65,15.16,94
Carutapera,95,BR,1583128280,81.48,9.98,-1.2,-46.02,78
Richards Bay,100,ZA,1583128280,73.22,21.56,-28.78,32.04,73
Semey,89,KZ,1583128281,32,26.84,50.41,80.23,76
Kaitangata,37,NZ,1583128281,62.01,5.01,-46.28,169.85,84
Pangkalanbuun,100,ID,1583128281,91.44,1.68,-2.68,111.62,55
Vestmannaeyjar,100,IS,1583128281,38.26,46.93,63.44,-20.27,73
Tlaxco,54,MX,1583128281,56.97,2.13,19.62,-98.12,46
Neryungri,100,RU,1583128282,4.68,8.08,56.67,124.65,84
Salair,100,RU,1583128282,33.37,5.7,54.23,85.8,94
Acajutla,0,SV,1583128282,80.91,11.63,13.59,-89.83,70
Nanortalik,0,GL,1583128282,16.77,44.27,60.14,-45.24,60
Colac,0,AU,1583128283,63,5.01,-38.33,143.58,75
Redmond,90,US,1583128004,43,1.92,47.67,-122.12,100
San Policarpo,1,PH,1583128283,81.07,9.57,12.18,125.51,68
Chabahar,0,IR,1583128283,75.18,1.95,25.29,60.64,36
Miles City,1,US,1583128283,23,6.93,46.41,-105.84,85
Emba,0,KZ,1583128284,22.37,9.4,48.83,58.14,84
San Quintín,100,MX,1583128284,56.52,5.99,30.48,-115.95,68
Arman',0,RU,1583128284,15.03,5.59,59.7,150.17,77
Port Macquarie,1,AU,1583128284,97,5.82,-31.43,152.92,22
Graham,75,US,1583128284,44.01,6.49,47.05,-122.29,86
Nieves,75,PH,1583128285,91.4,2.24,15.33,120.95,46
Shubarshi,0,KZ,1583128285,24.26,10.51,48.59,57.19,78
Hueyapan,9,MX,1583128285,56.21,2.93,18.87,-98.67,52
Aljezur,100,PT,1583128285,63,5.01,37.32,-8.8,94
Severo-Kuril'sk,98,RU,1583128286,26.74,1.74,50.68,156.12,93
Ucluelet,100,CA,1583128190,39.99,3.24,48.93,-125.55,90
Kondoa,100,TZ,1583128286,65.39,5.79,-4.9,35.78,94
Bereda,40,ES,1583128286,53.01,13.87,43.27,-7.54,87
Dekernes,0,EG,1583128077,57.2,3.36,31.09,31.59,82
Médéa,40,DZ,1583128287,60.8,6.93,36.26,2.75,59
Hobyo,12,SO,1583128287,82.26,15.77,5.35,48.53,57
Thompson,90,CA,1583128288,8.6,3.36,55.74,-97.86,78
Ubinskoye,100,RU,1583128338,29.03,8.9,55.31,79.68,90
Isangel,75,VU,1583128338,87.8,8.57,-19.55,169.27,74
Tuatapere,63,NZ,1583128338,68.54,5.46,-46.13,167.68,49
Qasigiannguit,94,GL,1583128338,-14.8,8.05,68.82,-51.19,46
Wajima,75,JP,1583128338,50,20.8,37.4,136.9,81
Tawao,40,MY,1583128339,89.6,5.82,4.25,117.89,66
Tocopilla,0,CL,1583128339,59.25,3.44,-22.09,-70.2,60
Kamensk-Ural'skiy,0,RU,1583128339,23.16,10.36,56.42,61.93,84
El Sauzal de Rodríguez,91,MX,1583128340,52,1.99,31.9,-116.68,88
Khuzhir,10,RU,1583128340,15.8,4.56,53.19,107.34,75
Xining,75,CN,1583128270,36.97,2.46,36.62,101.77,45
Bathsheba,40,BB,1583128340,77,13.87,13.22,-59.52,69
Jiaocheng,60,CN,1583128340,73.02,1.99,24.68,116.14,56
Palembang,8,ID,1583128341,92.88,6.44,-2.92,104.75,50
Nouadhibou,44,MR,1583128341,64.4,20.8,20.93,-17.03,72
Hualmay,100,PE,1583128341,71.49,4.25,-11.1,-77.61,78
Tūkrah,38,LY,1583128341,56.44,7.7,32.53,20.58,56
Jining,98,CN,1583128342,54.23,10.13,35.41,116.58,29
Tupik,71,RU,1583128342,14.27,2.8,54.43,119.93,83
Salalah,75,OM,1583128342,77,5.82,17.02,54.09,57
Acapulco de Juárez,5,MX,1583128090,80.6,2.24,16.86,-99.89,74
Ceres,1,US,1583128342,51.8,10.29,37.59,-120.96,39
Yeniseysk,89,RU,1583128343,17.28,11.68,58.45,92.17,86
Port Shepstone,17,ZA,1583128343,69.46,4.03,-30.74,30.45,77
Saint George,75,US,1583128273,46,3.36,37.1,-113.58,63
Rockhampton,40,AU,1583128343,89.6,9.17,-23.38,150.5,52
Bontang,87,ID,1583128344,85.6,9.04,0.13,117.5,65
Aklavik,40,CA,1583128344,-23.8,3.36,68.22,-135.01,74
Okitipupa,50,NG,1583128344,76.89,1.97,6.5,4.78,97
Ouallam,90,NE,1583128344,73.36,8.41,14.32,2.09,13
Simao,0,CN,1583128345,76.44,8.01,22.79,100.97,28
Faya,0,SA,1583128345,60.8,7.74,18.39,42.45,54
Kulhudhuffushi,17,MV,1583128345,82.67,10,6.62,73.07,71
Mayumba,77,GA,1583128345,82.24,12.06,-3.43,10.66,81
Hirara,75,JP,1583128247,71.6,16.11,24.8,125.28,68
Grand-Santi,44,GF,1583128346,69.87,2.24,4.25,-54.38,95
Oddur,0,SO,1583128346,80.51,16.6,4.12,43.89,37
Cheremushskiy,100,RU,1583128346,32.49,10.16,61.27,47.26,97
Teya,100,RU,1583128346,20.3,8.68,60.38,92.63,76
Ürümqi,75,CN,1583128347,37.99,4.47,43.8,87.6,80
Salaspils,20,LV,1583128347,37.99,5.82,56.86,24.37,93
Escanaba,1,US,1583128347,37.4,13.87,45.75,-87.06,91
Banepā,20,NP,1583128348,66.2,3.36,27.63,85.52,48
Mtinko,100,TZ,1583128348,63.77,3.96,-4.55,34.85,93
Saint Anthony,90,US,1583128348,37.4,8.05,45.02,-93.22,69
Alofi,5,NU,1583128398,82.4,9.17,-19.06,-169.92,78
Barra do Garças,50,BR,1583128398,69.19,0.87,-15.89,-52.26,96
Igarka,100,RU,1583128398,30.85,14.05,67.47,86.58,97
San Onofre,0,CO,1583128398,76.12,0.89,9.74,-75.53,77
Ebes,90,HU,1583128398,46.4,11.41,47.47,21.5,100
Yumen,0,CN,1583128399,47.23,13.4,40.28,97.2,19
Shetpe,100,KZ,1583128399,37.83,21.05,44.17,52.12,68
Al Bardīyah,36,LY,1583128399,56.93,4.83,31.76,25.09,63
Pochutla,20,MX,1583128399,80.6,6.93,15.74,-96.47,69
San Fernando,75,PH,1583128400,91.4,2.24,15.03,120.69,46
Kristiansund,75,NO,1583128400,30.2,9.17,63.11,7.73,86
Jinchang,0,CN,1583128400,38.44,13.49,38.5,102.17,23
Nishihara,90,JP,1583128400,71.01,5.82,26.18,127.76,88
Zarubino,100,RU,1583128400,30.34,3.18,42.63,131.09,76
Chapais,75,CA,1583128401,5,8.05,49.78,-74.85,84
Isla Vista,90,US,1583128401,52,4.38,34.41,-119.86,93
Brezno,90,SK,1583128401,39.2,5.82,48.8,19.64,100
Christchurch,99,NZ,1583128402,73.99,16.11,-43.53,172.63,77
Taree,15,AU,1583128402,97,5.82,-31.9,152.47,22
Isabela,20,PH,1583128402,87.8,9.17,6.71,121.97,70
Chibuto,85,MZ,1583128402,74.55,2.98,-24.69,33.53,67
Saint-Leu,77,RE,1583128402,84.2,8.05,-21.15,55.28,79
Virbhadra,0,IN,1583128403,72.43,1.05,30.07,78.28,38
Diapaga,78,BF,1583128403,72.27,1.01,12.07,1.79,17
Gejiu,0,CN,1583128403,69.75,11.05,23.31,103.16,39
Grants,1,US,1583128403,35.6,4.7,35.15,-107.85,51
Marsh Harbour,17,BS,1583128404,66.54,14.94,26.54,-77.06,60
Abhā,0,SA,1583128404,60.8,4.36,18.22,42.51,54
Rudnogorsk,76,RU,1583128404,16.86,2.59,57.26,103.75,84
Uruguaiana,0,BR,1583128404,71.6,9.17,-29.75,-57.09,64
Sandwick,54,GB,1583128405,41,10.29,60,-1.25,86
Daru,99,PG,1583128405,85.57,4.56,-9.08,143.21,79
Huilong,0,CN,1583128405,55.99,13.29,31.81,121.66,54
Srednekolymsk,27,RU,1583128405,1.11,8.48,67.45,153.68,88
Kuytun,47,RU,1583128405,13.66,3.94,54.34,101.5,87
